,date,text,likes,views
59,2024-11-15 09:30:00,"ВАУУУ!!! А кто это у нас был в DBT?😱  Наши иностранные звездочки 🤩 Приходили к нам и пробовали наши вкуснейшие бабл ти и вафли🧋  И они даже оставили положительные отзывы у нас на сайте, скорее читай✨  Чей отзыв тебе понравился больше?)",11,1540
60,2024-11-14 11:42:28,"Друзья, привет! За этот месяц мы открыли целых 5 новых точек🧋  • Санкт-Петербург, ТЦ Экопарк, 1 этаж • Санкт-Петербург, ТРК Южный Полюс • Казань, ул Бутлерова, 45 • Саратов, ТРЦ Тау Галерея, 3 этаж • Петрозаводск, ТЦ Лотос Plaza, 2 этаж  Каждый месяц мы расширяемся все больше и больше✨  Ждем вас на новых наших точках🫶🏻",17,1509
61,2024-11-12 09:43:29,"Это точно мечта многих😂  Наши джусики насколько вкусные, что хочется ими наполнить 10 стаканов!✨🧋",25,1916
62,2024-11-11 09:16:06,"мы же не одни так делаем?)😂  в каждом кафе DBT вы можете найти стеллаж, где лежат кучу азиатских вкусняшек! Советуем попробовать😍",12,1624
63,2024-11-08 08:40:30,Продать бабл ти сотруднику DBT? Это надо уметь😂,38,1912
64,2024-11-07 09:27:06,"Спасибо за вашу поддержку, положительные отзывы и отметки в ваших сторис!🫶🏻 Мы очень ценим вашу любовь к нашим авторским бабл ти и вкуснейшим вафлям🧋  Мы стараемся с каждым днем делать для вас уникальный контент, работаем над ошибками и улучшаем наши напитки!  Видеть вас в наших кафе - это лучшая благодарность❤️   Спасибо что остаетесь с нами!  Дальше нас ждет еще больше интересного, яркого и сочного контента, самые разные конкурсы и новые акции🌸  С большой любовью, команда DBT",17,1417
65,2024-11-06 11:03:43,"У нас было 15 кг джусиков.. и мы не знали, что делать с ними👀  Получился ужин из ✨джусиков✨   Хотел бы такой?)",24,1997
66,2024-11-04 10:30:55,"Получи предсказание от тарологов «double bubble tea»🧋🔮  Рады напомнить вам о нашей новой акцией, которая действует в каждом кафе!✨  В чём заключается суть акции? При заказе «Чая Таро» гостю вместе с напитком будет выдаваться фирменная карта с предсказанием, которую гость сам вытянет из колоды!   Каждая карта выполнена в уникальном дизайне. И говорит о том, что принесет вам этот день 👀  Смотри адреса в актуальных и узнай, какие интересные новости тебя ждут сегодня 🤫",79,2287
67,2024-11-03 11:05:55,"DBT — это семья: поговорить, поддержать, помочь, посмеяться.. ну и поруководить!😂",18,2112
68,2024-11-01 12:21:55,"ИЩЕМ СОТРУДНИКОВ В СТРЕМИТЕЛЬНО РАСТУЩУЮ КОМПАНИЮ - double bubble tea🧋  Те, кто давно за нами следят, знают, что мы каждый месяц открываем новые локации в Санкт-Петербурге, Москве, Казани, Саратове и Петрозаводске!   Именно поэтому мы всегда находимся в поиске сотрудников! Но что вы получите устроившись к нам? 👇🏼  1. ЗП от 80.000 📈 2. Гибкий график. Это даст вам возможность управлять своим временем более эффективно. 3. Работа недалеко от дома  Ответы на все вопросы и более подробная информация по номеру:  Москва:  8 (904) 236-67-76  Питер: +7 (912) 700-45-37",12,1442
69,2024-10-30 11:57:14,"БУУУУ..👻 Испугался? Не бойся, DBT стоит на защите твоих снов и крутого настроения😎  Совсем скоро хэллоуин, поэтому мы подготовили для вас подборку с самыми культовыми персонажами из страшилок, встречайте!   Пора вспомнить классику и весело провести хэллоуин за просмотром любимых фильмов и стаканчиком бабл ти🧋",16,1466
